Ad Daqahliyah	258	46	7,050,004
Al Bahr al Ahmar	314.0	172.0	403,077
Al Buhayrah	221.0	62.0	6,878,289
Al Fayyum	232.0	105.0	4,080,645
Al Gharbiyah	247.0	53.0	5,439,085
Al Iskandariyah	207.0	54.0	5,546,663
Al Isma`iliyah	290.0	63.0	1,452,743
Al Jizah	191.0	125.0	9,514,540
Al Minufiyah	244.0	65.0	4,736,945
Al Minya	227.0	144.0	6,337,595
Al Qahirah	264.0	102.0	10,248,385
Al Qalyubiyah	252.0	72.0	6,137,688
Al Uqsur	296.0	230.0	1,400,640
Al Wadi al Jadid	152.0	218.0	266,926
As Suways	282.0	90.0	792,551
Ash Sharqiyah	264.0	60.0	7,909,342
Aswan	306.0	254.0	1,656,218
Asyut	262.0	171.0	5,061,934
Bani Suwayf	250.0	119.0	3,592,039
Bur Sa`id	287.0	45.0	791,749
Dumyat	268.0	34.0	1,618,239
Janub Sina'	329.0	117.0	116,479
Kafr ash Shaykh	242.0	38.0	3,718,316
Matrouh	122.0	72.0	547,702
Qina	308.0	217.0	3,640,916
Shamal Sina'	326.0	68.0	508,109
Suhaj	278.0	196.0	5,727,271
			
